id,date,tweet
1539516086093107201,22-Jun-2022 (07:50:12),"@Mdy_Asmara1701 Mbak... beda looh... ada MRTI sbg salah satu tim peserta balapan, dan ada Sirkuit Mandalika... dua lembaga yg beda... yg bermasalah itu MRTI tim yg mungkin blm selesaikan kewajibannya, dan itu tdk ada sangkut pautnya dengan Sirkuit Mandalika..."
1539513432575070208,22-Jun-2022 (07:39:39),"@MasRahmad121 @Mdy_Asmara1701 Team Pertamina Mandalika racing vs team yg dari spanyol.jadi bukan sirkuit Mandalika apalagi penyelenggara Mandalika,Pertamina racing team moto2 dibawah MotoGP.dan masih ikut balapan diluar negeri"
1539511968750374912,22-Jun-2022 (07:33:50),"Coba tanya @mohmahfudmd @_ekokuntadhi @dennysiregar71 siapa lagi buzzeRp yang memuji Mandalika? O ya, @sandiuno juga ya.. https://t.co/kIqqnHYIxT"
1539508255973834752,22-Jun-2022 (07:19:05),@Khien_Dhie @mamang_opik @Dennysiregar7 Pamer dlu ah mumpung lagi untung melampaui target mandalika drun🤭🤭 klo FE untunng berapa ya ? 🤔 https://t.co/BHDkUc7UY6
1539507956005208064,22-Jun-2022 (07:17:54),"@Jauhariilham99 Entah dia tau atau ndak iqon siapa 😅😅.. Pas rpc mandalika aja dia mau jelasin sejelas jelasnya saya bilang saya  udah paham rpc, dia ngotot jelasin SEJELAS JELASNYA  wkwkwk"
1539507714304270336,22-Jun-2022 (07:16:56),"@detikcom Bikin Malu Sejagat! Tim Stylobike Spanyol Terus Tagih Utang Mandalika via Medsos, Padahal Katanya Cuan Besar!!! https://t.co/onFJ7wji30"
1539506858649845761,22-Jun-2022 (07:13:32),"@dedesrafli @msaid_didu @KPK_RI ""Biaya"" Klo commitment fee sdh bayar stengah triliun lebih masih kurang 90,7 m yg harus dibayar lagi untuk FE trus keuntungannya berapa drun ? Ko blm rilis sih ? Mending jujur aja klo rugi. 🤣🤣 klo mandalika gua pamer ne drun keuntungannya melampaui target lo so jgn iri ya 🤣 https://t.co/VnvtGsoTC5"
1539506025195524096,22-Jun-2022 (07:10:13),"@Mdy_Asmara1701 Bukan utang Mandalika ya mbaknya,tapi utang mandalika racing team.itu antara team vs team tidak ada sangkut pautnya dgn sirkuit Mandalika,atau pergelaran mandalika.baca dulu beritanya jgn terprovokasi judul."
1539503792890474497,22-Jun-2022 (07:01:21),@alextham878 Fitnah emang dapat apa bong ? GP Mandalika even tandingan E formula dana 2.8 Trilyun hasilnya mendongkrak nama dik Rara go internasional .. dik rara  berhasil kadalin Rezim berikut BUMN .. kok bisa BUMN  di pakai alat politik ganjal Anies mengharumkan nama bangsa . https://t.co/EyXWIPMLA7
1539501237359767553,22-Jun-2022 (06:51:12),"@Mdy_Asmara1701 Pawang hujan KW aja udah dibayar, mending ke depannya sirkuit Mandalika untuk balapan pawang hujan aja."
1539499874927882240,22-Jun-2022 (06:45:47),@Mdy_Asmara1701 Mana nih team hore mandalika??? Partai seputar ibukota...mana suaranya????🤣🤣🤣
1539498897831100416,22-Jun-2022 (06:41:54),@geloraco Lo ngmong ma patung di mandalika az noh 🤣🤣🤣
1539495367078817793,22-Jun-2022 (06:27:52),"Bikin Malu Sejagat! Tim Stylobike Spanyol Terus Tagih Utang Mandalika via Medsos, Padahal Katanya Cuan Besar!!! https://t.co/4ihJ99EJGf"
1539494318679138304,22-Jun-2022 (06:23:42),"@KeanuMam @syahrul_arhoel @sonnyprakosa7 @Uki23 Walah masih bego ternyata..lu ga bisa bedain mandalika racing team sama pertamina mandalika internasional street circuit ya? Yg jelas mandalika untung..skrng mana pormula eek untungnya brp?di jwb ya,barangkali lo lebih tau dr pada wan gabut🤭🤭 https://t.co/UTo8v3RuTo"
1539493936116690944,22-Jun-2022 (06:22:11),"Bikin Malu Sejagat! Tim Stylobike Spanyol Terus Tagih Utang Mandalika via Medsos, Padahal Katanya Cuan Besar!!! https://t.co/ErCj1kdrnj"
1539486718906503169,22-Jun-2022 (05:53:30),"@abangbelneg Ayo dong para youtuber disana update terus dong pengerjaan IKN kayak Mandalika, dijamin laku deh videonya"
1539485256872382464,22-Jun-2022 (05:47:42),@MSena060 @geloraco Dimana ke anehan Mandalika MotoGP?
1539481020470206464,22-Jun-2022 (05:30:52),"Gegana NTB : ""𝑺𝒂𝒕𝒚𝒂 𝑩𝒉𝒊𝒓𝒂𝒘𝒂 𝑪𝒂𝒌𝒕𝒊 "" . Detasemen Gegana NTB Rabu 22/06-  Dalam Rangka Menjaga Aset Negara Personil Subden 2 Detasemen Gegana Melaksanakan Kegiatan Pengamanan di Sirkuit Mandalika Kabupaten Lombok Tengah . https://t.co/zQXvkH1EZe"
1539479627101396993,22-Jun-2022 (05:25:19),Tunda mandalika tahun depan deh keknya vibe piala dunia u20 tahun depan lebih ngeri
1539473663824515073,22-Jun-2022 (05:01:38),"@detikcom Padahal 90m itu mungkin udh bisa buat bantu2 UMKM dan kalangan menengah kebawah Tapi yaudah lah, Gubernur &amp; timnya mau ngebuat acara inikan. Ya moga2 kelar ya pak urusan itu. Dan moga2 Sirkuit Formula-E itu bener2 ada manfaat bagi Jakarta &amp; Indonesia, seperti Sirkuit Mandalika"
1539473339739033600,22-Jun-2022 (05:00:20),Pernah tinggal beberapa bulan di Karawaci gue jadi punya teori: jalanan kota penghubung kota elite di Tangerang sengaja dibikin rusak biar orang kaya bisa merasa bersyukur punya hunian mewah yang jalannya super mulus kaya sirkuit Mandalika. https://t.co/b48Wq2luEJ
1539468696942686208,22-Jun-2022 (04:41:53),@Ronnie4Kings Sebelum gw jawab .. IKN . kereta cepat dan Mandalika untuk apa sih
1539462678405521408,22-Jun-2022 (04:17:59),"@QaillaAsyiqah @aniesbaswedan Cukong sawit disuntik dana milyaran, tapi migor malah mahal, kalian mingkem. Kereta Cepat dananya ratusan triliun, padahal fungsinya nanti belum jelas, kalian mingkem. Bangun circuit mandalika, triliunan, padahal cuma untuk balapan motogp, gak untungnya ke Rakyat, kalian mingkem"
1539460325799436288,22-Jun-2022 (04:08:38),"@ScherazadeMS Mudah mudahan nanti ada kompetisi sejenis Thailand Honda Talent Cup (saya lupa nama ajang sebenarnya), toh kita sudah punya Mandalika dan Sentul (bisa aja untuk motor 250cc)"
1539458358700167169,22-Jun-2022 (04:00:49),"Mau ke Mandalika,labuan bajo,Borobudur,Likupang,atau ke danau Toba?   Kemanapun liburan kalian,ezytix siap sedia menyediakan tiket pesawatnya. Pesan cepat dan mudah,langsung pesan via wa ke +6281360006300 #EzytixTravelAssistant Personal Travel Asisten Anda https://t.co/hyzJdKDRbr"
1539458157394673664,22-Jun-2022 (04:00:01),"Kalian mau liburan ke tempat wisata Mandalika ?tapi tiket pesawat nya susah didapat,tenang aku punya solusi yg bisa membantu kalian. Beli tiket di ezytix aja,pesannya bisa lewat WhatsApp . No wa nya  081360006300 #EzytixTravelAssistant Personal Travel Asisten Anda https://t.co/7Xs84hd0oi"
1539458156534845440,22-Jun-2022 (04:00:00),Lima Destinasi wisata prioritas di Indonesia  1 danau Toba 2 Mandalika 3 Borobudur 4 labuan bajo 5 Likupang   Pilih kemana liburan mu? Tetap pilihannya ezytix pesan tiket pesawat yg mudah dan gak ribet   #EzytixTravelAssistant Personal Travel Asisten Anda https://t.co/cPfW96Myjj
1539455601629368320,22-Jun-2022 (03:49:51),"@ddggmmbbkk kalau visi gak sejalan dah sama aja kayak pengurus PT mandalika motor balap Indonesia, padahal banyak duit negara yg masuk disana."
1539455293947379712,22-Jun-2022 (03:48:38),"Ini mungkin PSI lebih tahu dulu bahwa di Mandalika tjd sprt itu, lalu dicurigagakan ke Formula E https://t.co/PsE3987ZbR"
1539451276769243136,22-Jun-2022 (03:32:40),"@fadlizon Di mandalika pembalap dari Sumatera ada 3 orang dari kalimantan 1. Jabar diwakili bogor 2 orang, 8 dari jateng dan 2 pembalap dari jatim dari jakarta hanya 1 orang pebalap, penontonnya banyakan bule dari Belanda dan Australia, dikasi tiket gratis sama bumn dan pemda di Australia"
1539450707023372288,22-Jun-2022 (03:30:24),#angker4d #indohasilkeluaran #judionline #togelonline #slotonline #bocorantogel #infotogel #togelsingapore #togelsydney #togelhongkong #bandartogelonline #agenjuditogelterpercaya #tiktok #indonesia #agenjuditogelterpercaya #agenjuditogel #mandalika #shiotahunini #shiomacan https://t.co/jK664997AX
1539448110313017344,22-Jun-2022 (03:20:05),"Motor standar bawaan pabrik, cuma ganti knalpot doang, itupun kadang ada yg bikinan tukang las, udah ngerasa kayag di Mandalika klo bawa motor"
1539447898538405888,22-Jun-2022 (03:19:15),@itu_baik @PSSleman @Elja_TV @over_distortion Atau warih s utami yg kamu ajak kelon ke mandalika (orang ngablak turi) https://t.co/14sD8ugRsk
1539447615422877696,22-Jun-2022 (03:18:07),Situs Judi Togel Online Terpercaya Indo Whatsapp : +6281321532318 Web : https://t.co/fZJ5a9oGK9 Situs Judi Togel Online Terpercaya #togel #togelsgp #bandartogel #agentogel #juditogel #prediksitogel #situstogelonline #motogp #mandalika https://t.co/YGKTyMemls
1539446630922870784,22-Jun-2022 (03:14:13),Situs Judi Online Terpercaya Indonesia :  1. Slot Online  2. Judi Bola Online  3. Togel Online  4. Casino Online  Link Daftar : https://t.co/Hv5Panlxyd WA : https://t.co/H8TriLfXBr  #judionline #slotonline #agenjudionline #bandarjudionline #motogp #mandalika https://t.co/i65m0nkwo1
1539441635427491840,22-Jun-2022 (02:54:21),Habis Mandalika Terbitlah Samota  Rapimnas PKS #koalisiuntukrakyat @pksdigitalrace #milad20pks #miladpks20 #pkskotabekasi  https://t.co/AM4w1JmboU
1539437053145780224,22-Jun-2022 (02:36:09),Kawasan Pantai Kuta Mandalika Jadi Tempat Peringatan Hari Skateboard Sedunia https://t.co/hqonCA7oPC
1539434901019443200,22-Jun-2022 (02:27:36),"♀️[ IMPORT ] Vakum Elektrik Batu Baterai Pembesar Alat Vital Pria♂️ Harga : 💵 Rp.700.000,_ [ Isi 1 Paket ]  Area Jogja dan Sekitarnya Bisa di Antar dan Bayar Ditempat.  PESAN ORDER 📱Call/WA : 0852-2555-3502  #vacum #vakumpenis #alatpembesarpenis #Mandalika #ExpoJOGJA #bojogja https://t.co/yBGxwniyeI"
1539433097707462656,22-Jun-2022 (02:20:26),@aniesbaswedan @jokowi Maaf pak anies ...itu HAJATAN FORMULA E unung berapa ya pak??? Saya yakin pasti untung nya besar melebihi keuntungan GP MANDALIKA.
1539429876201304064,22-Jun-2022 (02:07:38),"Modal milyaran puluhan mendatangkan keuntungan trilyunan E Formula memang ide brilian GP Mandalika plagiat cuman mampu go internasional kan  dik Rara dan Indonesia sebagai negara klenik. modal 2,8 Trilyun tanah rakyat belum di ganti rugi panitia rugi gak bisa bayar gaji.. Ambyar. https://t.co/ZzW16OUhj3"
1539429206924218368,22-Jun-2022 (02:04:58),"@fadlizon Bukan cuma penonton bang @fadlizon tambahin dong, kita ""tuan rumah"" juga loh bang.  Event di Mandalika dan Jakarta itu bergengsi semua bang."
1539425983396478976,22-Jun-2022 (01:52:10),@Mdy_Asmara1701 @SATULSM_LIRA Ngemeng2 @bpkri sudah audit balap motogp di circuit mandalika belum yack ? Masa cuma formula e yg diadain belakangan yg dikasih pendapat Wajar
1539422404715237376,22-Jun-2022 (01:37:57),"Kami terus berkomitmen untuk mendukung kemajuan komunitas lokal untuk mengekspresikan kreativitas dan meningkatkan kemampuannya, sesuai dengan penerapan konsep 5 C yang kami usung di Bazaar Mandalika, yakni Commerce, Culture, Creativity, Culinary, Community."
1539422401842139136,22-Jun-2022 (01:37:56),Selain itu para skaters juga melakukan long march dari Bazaar Mandalika menuju Kuta Beach Park. https://t.co/DSScdGfq8i
1539422372670844929,22-Jun-2022 (01:37:49),"Nah, pada tanggal 21 Juni 2022 kemarin, sebagai destinasi Sport Tourism, The Mandalika menjadi lokasi penyelenggaraan event skateboarding bertajuk Go Skateboarding Day 2022 oleh komunitas NTB Tastura Skate bertempat di Bazaar Mandalika dan Kuta Beach Park. https://t.co/YBmoDw49oJ"
1539419508665745408,22-Jun-2022 (01:26:26),Yang kmren bilang mending nonton di sepang daripada di mandalika monggo tiket nya udah di jual noh https://t.co/7J3dQGd7OY
1539410622424940544,22-Jun-2022 (00:51:07),@AhlanKhoirul @dodykurniawan99 @JJ__memoryusang Minimal gak pake dukun klenik kayak di Mandalika.  Hihihi... 😄😄  https://t.co/AaXYyYAQxe
1539408842932785152,22-Jun-2022 (00:44:03),@MotoGP Mandalika Lombok Indonesia..😍😍😍 https://t.co/fmNugsxbIV
1539407713062375424,22-Jun-2022 (00:39:34),"Mandalika rugi gede yah 🤣, formula E laba gede, kok NKRI kagak beres diurus si Joko https://t.co/RgiSj8jyTS"
1539407380881977345,22-Jun-2022 (00:38:15),@manusiarombeng @03__nakula Mandalika kau sebut balapan gak jelas..  Formula Elektrik itu buat sosialisasi mobil listrik demi terwujudnya 2030 bebas emisi
